Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
24-12-2025,Transaction at Aster,2573.77,Healthcare,Net Banking,Bangalore,Current,Debit,Desktop,INR,Service,Yes,Wednesday,December,Afternoon
03-11-2025,Transaction at Ajio,12783.42,Online Shopping,UPI,Delhi,Salary,Debit,POS Terminal,INR,Online Store,No,Monday,November,Night
11-05-2025,Transaction at Netmeds,8942.95,Healthcare,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Sunday,May,Evening
04-01-2025,Transaction at Jio Fiber,1317.31,Bills,Credit Card,Chennai,Salary,Debit,Desktop,INR,Service,Yes,Saturday,January,Evening
06-01-2025,Transaction at AirAsia,18249.98,Travel,UPI,Hyderabad,Current,Debit,Mobile,INR,Service,Yes,Monday,January,Morning
28-05-2025,Transaction at SonyLiv,180.09,Entertainment,Debit Card,Kolkata,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,May,Afternoon
23-12-2025,Transaction at Snapdeal,3790.59,Online Shopping,Credit Card,Kolkata,Savings,Debit,Desktop,INR,Online Store,Yes,Tuesday,December,Afternoon
09-09-2025,Transaction at Amazon,7246.88,Online Shopping,Credit Card,Bangalore,Current,Debit,POS Terminal,INR,Online Store,Yes,Tuesday,September,Afternoon
12-05-2025,Transaction at Boat Lifestyle,81586.75,Electronics,Debit Card,Delhi,Credit Card,Debit,Mobile,INR,Retail,Yes,Monday,May,Afternoon
03-09-2025,Transaction at Wrogn,3214.92,Clothing,Credit Card,Pune,Salary,Debit,Mobile,INR,Retail,No,Wednesday,September,Morning
28-01-2025,Transaction at Uber,288.69,Transport,Net Banking,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Tuesday,January,Evening
09-07-2025,Transaction at Apollo Hospital,14951.4,Healthcare,Debit Card,Chennai,Current,Debit,Desktop,INR,Service,Yes,Wednesday,July,Morning
03-06-2025,Transaction at BigBazaar,3397.54,Grocery,Credit Card,Mumbai,Credit Card,Debit,Mobile,INR,Retail,Yes,Tuesday,June,Evening
08-07-2025,Transaction at Nilgiris,1139.88,Grocery,UPI,Mumbai,Current,Debit,Mobile,INR,Retail,No,Tuesday,July,Evening
03-08-2025,Transaction at Gaana,342.63,Entertainment,Net Banking,Chennai,Current,Debit,Mobile,INR,Subscription,Yes,Sunday,August,Evening
15-08-2025,Transaction at TSRTC,892.7,Transport,Credit Card,Bangalore,Salary,Debit,Desktop,INR,Service,No,Friday,August,Night
12-06-2025,Transaction at Gaana,968.55,Entertainment,Net Banking,Pune,Savings,Debit,POS Terminal,INR,Subscription,Yes,Thursday,June,Evening
10-01-2025,Transaction at Max Fashion,4490.07,Clothing,Net Banking,Delhi,Savings,Debit,POS Terminal,INR,Retail,No,Friday,January,Evening
15-07-2025,Transaction at Pizza Hut,1157.6,Food,UPI,Pune,Credit Card,Debit,Mobile,INR,Restaurant,No,Tuesday,July,Afternoon
07-12-2025,Transaction at 1mg,8764.35,Healthcare,Credit Card,Chennai,Credit Card,Debit,POS Terminal,INR,Service,Yes,Sunday,December,Morning
26-01-2025,Transaction at BMTC,1547.07,Transport,Net Banking,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Sunday,January,Morning
28-08-2025,Transaction at Ajio,8146.38,Online Shopping,Net Banking,Pune,Savings,Debit,POS Terminal,INR,Online Store,No,Thursday,August,Morning
05-02-2025,Transaction at Meru Cabs,1920.03,Transport,Credit Card,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Wednesday,February,Morning
06-10-2025,Transaction at Max Fashion,1721.41,Clothing,Credit Card,Kolkata,Current,Debit,POS Terminal,INR,Retail,No,Monday,October,Evening
29-05-2025,Transaction at Aster,14813.92,Healthcare,UPI,Pune,Current,Debit,Desktop,INR,Service,Yes,Thursday,May,Evening
05-05-2025,Transaction at ACT Fibernet,319.22,Bills,Debit Card,Mumbai,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,May,Afternoon
27-04-2025,Transaction at Water Board,2338.4,Bills,UPI,Pune,Savings,Debit,Mobile,INR,Service,No,Sunday,April,Evening
02-09-2025,Transaction at Vivo Store,61980.42,Electronics,Credit Card,Delhi,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Tuesday,September,Evening
23-02-2025,Transaction at Ola,822.4,Transport,Debit Card,Mumbai,Salary,Debit,Mobile,INR,Service,No,Sunday,February,Night
26-02-2025,Transaction at YouTube Premium,184.47,Entertainment,Net Banking,Pune,Current,Debit,Desktop,INR,Subscription,Yes,Wednesday,February,Evening
08-10-2025,Transaction at Aster,4255.27,Healthcare,Net Banking,Hyderabad,Credit Card,Debit,Desktop,INR,Service,No,Wednesday,October,Morning
14-11-2025,Transaction at Pizza Hut,565.33,Food,UPI,Chennai,Savings,Debit,POS Terminal,INR,Restaurant,No,Friday,November,Morning
04-11-2025,Transaction at BSNL,448.88,Bills,UPI,Delhi,Salary,Debit,Desktop,INR,Service,Yes,Tuesday,November,Afternoon
17-02-2025,Transaction at Apollo Pharmacy,18445.07,Healthcare,Net Banking,Chennai,Salary,Debit,Desktop,INR,Service,No,Monday,February,Afternoon
28-03-2025,Transaction at Water Board,4260.5,Bills,Net Banking,Kolkata,Salary,Debit,Mobile,INR,Service,Yes,Friday,March,Afternoon
16-04-2025,Transaction at Chai Point,589.68,Food,Net Banking,Chennai,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Wednesday,April,Night
01-07-2025,Transaction at Booking.com,27712.34,Travel,Debit Card,Kolkata,Salary,Debit,Desktop,INR,Service,No,Tuesday,July,Evening
23-06-2025,Transaction at Nykaa,13376.26,Online Shopping,UPI,Mumbai,Salary,Debit,Desktop,INR,Online Store,No,Monday,June,Evening
17-03-2025,Transaction at 1mg,1134.99,Healthcare,UPI,Chennai,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,March,Afternoon
25-11-2025,Transaction at CloudNine,12384.61,Healthcare,Credit Card,Chennai,Current,Debit,Mobile,INR,Service,Yes,Tuesday,November,Afternoon
08-11-2025,Transaction at Pantaloons,6929.7,Clothing,UPI,Hyderabad,Current,Debit,Mobile,INR,Retail,Yes,Saturday,November,Evening
26-11-2025,Transaction at Reliance Digital,130642.49,Electronics,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Retail,No,Wednesday,November,Morning
25-06-2025,Transaction at Apple Store,79777.72,Electronics,Net Banking,Chennai,Credit Card,Debit,Desktop,INR,Retail,Yes,Wednesday,June,Afternoon
30-11-2025,Transaction at MedPlus,3370.27,Healthcare,Net Banking,Mumbai,Credit Card,Debit,POS Terminal,INR,Service,No,Sunday,November,Morning
05-12-2025,Transaction at Zee5,337.71,Entertainment,Credit Card,Bangalore,Current,Debit,Desktop,INR,Subscription,No,Friday,December,Night
12-07-2025,Transaction at Ajio,4838.78,Online Shopping,Net Banking,Chennai,Salary,Debit,POS Terminal,INR,Online Store,No,Saturday,July,Morning
07-06-2025,Transaction at AirAsia,5198.69,Travel,UPI,Chennai,Credit Card,Debit,Mobile,INR,Service,No,Saturday,June,Night
11-06-2025,Transaction at Aha,837.72,Entertainment,Net Banking,Mumbai,Salary,Debit,Mobile,INR,Subscription,Yes,Wednesday,June,Night
18-05-2025,Transaction at Vivo Store,77283.47,Electronics,UPI,Delhi,Credit Card,Debit,Desktop,INR,Retail,Yes,Sunday,May,Night
28-04-2025,Transaction at Asus Store,11685.73,Electronics,UPI,Chennai,Current,Debit,POS Terminal,INR,Retail,Yes,Monday,April,Evening
21-10-2025,Transaction at TSRTC,1439.75,Transport,UPI,Kolkata,Credit Card,Debit,POS Terminal,INR,Service,No,Tuesday,October,Evening
05-08-2025,Transaction at Uber,1973.48,Transport,Net Banking,Chennai,Savings,Debit,Mobile,INR,Service,No,Tuesday,August,Afternoon
06-10-2025,Transaction at Nike,4371.85,Clothing,Net Banking,Delhi,Credit Card,Debit,Mobile,INR,Retail,Yes,Monday,October,Evening
02-03-2025,Transaction at MedPlus,1402.49,Healthcare,UPI,Bangalore,Credit Card,Debit,Mobile,INR,Service,Yes,Sunday,March,Night
28-10-2025,Transaction at A2B,1243.48,Food,Credit Card,Bangalore,Salary,Debit,POS Terminal,INR,Restaurant,Yes,Tuesday,October,Morning
13-04-2025,Transaction at Noise,113889.04,Electronics,Credit Card,Hyderabad,Current,Debit,POS Terminal,INR,Retail,No,Sunday,April,Morning
20-06-2025,Transaction at Ola,1257.63,Transport,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Service,No,Friday,June,Evening
30-01-2025,Transaction at Zee5,933.54,Entertainment,Net Banking,Chennai,Salary,Debit,Desktop,INR,Subscription,No,Thursday,January,Night
08-02-2025,Transaction at Starbucks,651.61,Food,Net Banking,Chennai,Current,Debit,Desktop,INR,Restaurant,No,Saturday,February,Night
09-08-2025,Transaction at Fortis,10637.38,Healthcare,Debit Card,Pune,Credit Card,Debit,Mobile,INR,Service,No,Saturday,August,Morning
07-03-2025,Transaction at Reliance Digital,18244.44,Electronics,Debit Card,Delhi,Current,Debit,Desktop,INR,Retail,No,Friday,March,Morning
18-08-2025,Transaction at Ola,1887.66,Transport,UPI,Delhi,Credit Card,Debit,Mobile,INR,Service,Yes,Monday,August,Night
15-12-2025,Transaction at SonyLiv,145.96,Entertainment,Debit Card,Hyderabad,Credit Card,Debit,Mobile,INR,Subscription,No,Monday,December,Night
31-03-2025,Transaction at Booking.com,12967.17,Travel,Net Banking,Pune,Credit Card,Debit,Desktop,INR,Service,Yes,Monday,March,Morning
29-06-2025,Transaction at Sony Center,62817.88,Electronics,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Retail,Yes,Sunday,June,Evening
29-07-2025,Transaction at Biba,4148.95,Clothing,Debit Card,Bangalore,Current,Debit,Mobile,INR,Retail,Yes,Tuesday,July,Evening
30-04-2025,Transaction at JioMart,2506.42,Grocery,UPI,Bangalore,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Wednesday,April,Evening
15-11-2025,Transaction at Rapido,228.04,Transport,UPI,Pune,Current,Debit,Mobile,INR,Service,No,Saturday,November,Morning
03-11-2025,Transaction at Amazon,3452.95,Online Shopping,Net Banking,Mumbai,Credit Card,Debit,Mobile,INR,Online Store,Yes,Monday,November,Evening
06-02-2025,Transaction at CCD,623.51,Food,Net Banking,Hyderabad,Savings,Debit,POS Terminal,INR,Restaurant,No,Thursday,February,Morning
25-07-2025,Transaction at AirAsia,9974.99,Travel,UPI,Hyderabad,Current,Debit,Desktop,INR,Service,No,Friday,July,Night
30-08-2025,Transaction at Reliance Fresh,1624.5,Grocery,Debit Card,Mumbai,Current,Debit,Desktop,INR,Retail,No,Saturday,August,Morning
11-10-2025,Transaction at Pepperfry,14948.76,Online Shopping,UPI,Hyderabad,Credit Card,Debit,Desktop,INR,Online Store,No,Saturday,October,Evening
04-11-2025,Transaction at SonyLiv,685.67,Entertainment,Net Banking,Chennai,Salary,Debit,POS Terminal,INR,Subscription,No,Tuesday,November,Afternoon
06-03-2025,Transaction at Reliance Digital,91984.49,Electronics,Debit Card,Kolkata,Credit Card,Debit,Mobile,INR,Retail,No,Thursday,March,Night
06-05-2025,Transaction at Spencers,4302.88,Grocery,Debit Card,Hyderabad,Salary,Debit,Mobile,INR,Retail,Yes,Tuesday,May,Night
05-07-2025,Transaction at Ajio,16992.09,Online Shopping,UPI,Kolkata,Savings,Debit,Desktop,INR,Online Store,No,Saturday,July,Afternoon
20-06-2025,Transaction at PharmEasy,15524.65,Healthcare,UPI,Kolkata,Current,Debit,POS Terminal,INR,Service,Yes,Friday,June,Night
27-08-2025,Transaction at Air India,27984,Travel,Credit Card,Kolkata,Current,Debit,Mobile,INR,Service,Yes,Wednesday,August,Afternoon
25-08-2025,Transaction at RedBus,1324.57,Transport,UPI,Delhi,Savings,Debit,Mobile,INR,Service,Yes,Monday,August,Night
06-02-2025,Transaction at Subway,1429.47,Food,Debit Card,Kolkata,Current,Debit,POS Terminal,INR,Restaurant,Yes,Thursday,February,Night
08-09-2025,Transaction at IndiGo,7841.59,Travel,Net Banking,Bangalore,Savings,Debit,POS Terminal,INR,Service,Yes,Monday,September,Evening
13-12-2025,Transaction at Woodland,7711.86,Clothing,Net Banking,Bangalore,Salary,Debit,POS Terminal,INR,Retail,Yes,Saturday,December,Afternoon
06-05-2025,Transaction at Ola,1376.98,Transport,Credit Card,Delhi,Credit Card,Debit,Mobile,INR,Service,No,Tuesday,May,Afternoon
04-02-2025,Transaction at A2B,563.71,Food,Credit Card,Kolkata,Salary,Debit,Desktop,INR,Restaurant,No,Tuesday,February,Morning
02-11-2025,Transaction at HP World,9965.75,Electronics,UPI,Bangalore,Salary,Debit,Mobile,INR,Retail,No,Sunday,November,Afternoon
16-02-2025,Transaction at Lenskart,2429.44,Online Shopping,Net Banking,Delhi,Current,Debit,Desktop,INR,Online Store,No,Sunday,February,Evening
29-12-2025,Transaction at IndiGo,19630.5,Travel,Credit Card,Hyderabad,Salary,Debit,Mobile,INR,Service,Yes,Monday,December,Morning
25-06-2025,Transaction at Cream Stone,832.44,Food,Debit Card,Pune,Salary,Debit,Mobile,INR,Restaurant,Yes,Wednesday,June,Night
02-09-2025,Transaction at RedBus,792.61,Transport,Net Banking,Kolkata,Credit Card,Debit,Mobile,INR,Service,Yes,Tuesday,September,Morning
22-12-2025,Transaction at Amazon,17765.64,Online Shopping,Debit Card,Delhi,Salary,Debit,POS Terminal,INR,Online Store,Yes,Monday,December,Night
30-07-2025,Transaction at Gaana,660.53,Entertainment,Net Banking,Mumbai,Credit Card,Debit,POS Terminal,INR,Subscription,Yes,Wednesday,July,Evening
24-12-2025,Transaction at Paradise Biryani,194.1,Food,Credit Card,Hyderabad,Credit Card,Debit,Mobile,INR,Restaurant,No,Wednesday,December,Morning
08-06-2025,Transaction at Allen Solly,6496.52,Clothing,UPI,Chennai,Salary,Debit,Desktop,INR,Retail,Yes,Sunday,June,Evening
08-12-2025,Transaction at Zee5,669.09,Entertainment,UPI,Kolkata,Savings,Debit,Desktop,INR,Subscription,Yes,Monday,December,Morning
12-04-2025,Transaction at Taco Bell,126.15,Food,UPI,Kolkata,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Saturday,April,Afternoon
22-02-2025,Transaction at IndiGo,2297.18,Travel,UPI,Pune,Savings,Debit,POS Terminal,INR,Service,No,Saturday,February,Night
02-03-2025,Transaction at US Polo,7251.49,Clothing,Credit Card,Bangalore,Salary,Debit,Mobile,INR,Retail,No,Sunday,March,Afternoon
29-09-2025,Transaction at Allen Solly,545.49,Clothing,Credit Card,Pune,Current,Debit,Mobile,INR,Retail,Yes,Monday,September,Morning
08-01-2025,Transaction at H&M,3749.25,Clothing,Credit Card,Pune,Salary,Debit,POS Terminal,INR,Retail,Yes,Wednesday,January,Night
05-08-2025,Transaction at Chai Point,981.12,Food,Net Banking,Mumbai,Current,Debit,Mobile,INR,Restaurant,No,Tuesday,August,Afternoon
08-07-2025,Transaction at Mi Store,89726.7,Electronics,UPI,Bangalore,Salary,Debit,Mobile,INR,Retail,Yes,Tuesday,July,Morning
09-03-2025,Transaction at Nature's Basket,525.86,Grocery,Net Banking,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,Yes,Sunday,March,Morning
14-02-2025,Transaction at OnePlus,149197.11,Electronics,Debit Card,Kolkata,Salary,Debit,POS Terminal,INR,Retail,Yes,Friday,February,Morning
29-12-2025,Transaction at Water Board,1766.65,Bills,UPI,Hyderabad,Savings,Debit,Desktop,INR,Service,No,Monday,December,Evening
25-10-2025,Transaction at A2B,1268.04,Food,Credit Card,Chennai,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Saturday,October,Evening
10-11-2025,Transaction at Flipkart,15804.76,Online Shopping,Net Banking,Mumbai,Salary,Debit,POS Terminal,INR,Online Store,Yes,Monday,November,Evening
22-12-2025,Transaction at Tata Cliq,709.77,Online Shopping,Debit Card,Pune,Savings,Debit,Mobile,INR,Online Store,No,Monday,December,Morning
13-06-2025,Transaction at Subway,525.91,Food,Net Banking,Pune,Savings,Debit,Desktop,INR,Restaurant,No,Friday,June,Morning
07-09-2025,Transaction at AirAsia,21491.65,Travel,UPI,Delhi,Salary,Debit,POS Terminal,INR,Service,No,Sunday,September,Morning
12-11-2025,Transaction at CloudNine,10150.1,Healthcare,UPI,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,November,Night
06-11-2025,Transaction at Property Tax Online,599.75,Bills,Credit Card,Kolkata,Current,Debit,Mobile,INR,Service,No,Thursday,November,Afternoon
19-12-2025,Transaction at Netflix,890.56,Entertainment,UPI,Hyderabad,Savings,Debit,Desktop,INR,Subscription,No,Friday,December,Night
21-05-2025,Transaction at Yatra,24867.56,Travel,UPI,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,May,Afternoon
11-07-2025,Transaction at Wrogn,7653.49,Clothing,Net Banking,Chennai,Savings,Debit,Mobile,INR,Retail,No,Friday,July,Night
01-04-2025,Transaction at A2B,1362.74,Food,Net Banking,Delhi,Current,Debit,POS Terminal,INR,Restaurant,No,Tuesday,April,Night
06-01-2025,Transaction at McDonalds,448.3,Food,UPI,Hyderabad,Credit Card,Debit,POS Terminal,INR,Restaurant,No,Monday,January,Night
30-08-2025,Transaction at Biba,4150.21,Clothing,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,No,Saturday,August,Afternoon
23-12-2025,Transaction at Netflix,825.99,Entertainment,Debit Card,Pune,Current,Debit,Mobile,INR,Subscription,Yes,Tuesday,December,Night
